File Name,Pitch Data
49.mid,"74,76,77,76,74,72,74,72,72,71,72,72,74,72,72,74,72,72,74,72,74,74,76,77,76,77,74,72,74,72,72,71,72,74,72,74,74,74,74,76,74,74,74,74,76,74,76,74,72,74,72,72,74,76,74,76,79,76,74,72,74,76,74,76,74,72,71,72,71"
50.mid,"67,72,72,74,72,74,72,74,72,72,71,67,69,67,69,72,69,67,69,67,65,67,69,67,67,67,69,72,69,72,69,67,67,72,74,72,71,72,74,72,69,71,72,71,69,67,69,69,67,72,72,71,72,74,72,74,72,72,71,72,74,76,74,74,74,72,72,71,72,72,71,72,72,74,72,72,72,72,72,71,69,72,69,72,72,72,71,72,74,72,74,72,72,71,72,74,76,74,74,72,72,71,72,72,71,69,72,72,72,74,72,71,72,69,67,67,69,72,69,72,69,67"
51.mid,"67,69,72,69,69,69,67,65"
52.mid,"74,71,72,76,74,74,74,74,76,74,72,72,72,69,72,74,72,72,67,67,67,72,72,71,69,69,69,76,76,72,71,72,74,72,69,67,67,74,74,76,74,72,71,72"
53.mid,"67,69,72,69,67,69,67,65,67,69,72,69,67,67,67,74,71,74,76,74,74,74,76,74,72,74,72,72,72,69,72,72,76,72,69,72,74,72,72,74,72,72,72,71,69,72,67,72,74,72,74,72,72,71,72,72,72,71,72,69,67,65,67,69,71,72,74,72,69,67,67,72,72,71,72,69,67"
54.mid,"67,69,72,69,72,72,67,69,69,69,69,72,69,67,72,71,69,69,72,71,67,67,69,67,67,65,67,67,67,65,64,72,72,72,69,72,72,71,69"
55.mid,"60,65,65,67,65,67,65,65"
56.mid,"67,74,74,76,72,72,71,69,72,74,76,74"
57.mid,"60,62,62,69,72,69,69,67,69,72,72,74,72,71,69,67,69,67,65,67,69,69,69,65,67,69,69,67,69,67,64,65,67,65,67,65,67,64,65,65,62,64,65,67,67,64,65,67,67,69,64,65,67,65,64,62,64,65,64,65,64,62,65,65,65,65,65,67,65,64,65,64,62,62,64,65,64,65,64,62,65,67,69,69,69,67,69,67,65,64,64,65,67,65,67,67,65,69,67,65,69,72,72,71,69,65,67,69,67,69,67,65,67,69,67,65,65,64,62,65,62,69,65,65,64,65,65,65,64,62,64,65,62"
58.mid,"67,69,72,69,69,69,67,65"
59.mid,"67,71,72,74,74,74,76,72,69,72,71,69,67,67,67,65,69,72,72,72,72,72,72,69,72,72,72,72,74,76,74,72,72,72,72,72,74,72,74,69,67,71,72,69,67,71,72,74,72,69,67,67,74,74,76,74,72,72,71,69"
60.mid,"62,65,62,62,60,65,67,65,69,69,69,69,71,72,69,67,69,67,65,67,69,71,69,67,69,67,67,67,64,67,69,67,65,65,67,65,65,64,65,62,60,62,65,64,62,62,69,69,69,67,67,65,67,69,67"
61.mid,"65,65,67,69,65,64,62,62,65,67,69,69,69,67,69,67,65,65,67,65,62,62,69,67,69,72,71,69,72,69,65,69,67,69,67,65,67,65,62,62,62,64,65,67,67,65,67,65,64,62,60,62,65,64,62,62,65,69,69,67,69,67,65,64,67,65,64,62,62,69,69,69,67,67,65,67,69,67"
62.mid,"67,74,71,72,76,74,77,77,76,74,76,74,72,77,77,76,74,74,72,69,74,72,72,71,67,67,67,67,71,72,74,76,74,72,77,77,76,74,76,74,72,74,76,76,74,74,74,77,74,72,72,71,72,71,72,74,72,69,67,67,74,74,76,74,74,72,74"
63.mid,"64,65,67,67,69,67,67,65,69,72,72,74,72,71,69,67,69,67,67,69,72,67,69,67,65,64,62,65,65,67,69,69,67,67,72,72,74,72,71,72,71,69,67,69,67,69,72,69,65,67,69,72,72,71,69,67,69,72,69,65,67,69,72,72,71,69,67,67,67,69,67,64,65,67,67,67,72,72,71,72,69,67"
64.mid,"67,71,72,74,74,74,74,76,72,76,72,72,72,71,69,71,72,74,72,71,69,72,69,72,67,67,74,74,76,74,72"
65.mid,"65,65,65,65,65,64,67,69,64,65,62,60,60,65,65,65,65,64,67,69,69,69,67,67,65,65"
66.mid,"65,65,65,64,67,69,64,65,62,60,60,65,65,65,65,64,67,69,69,69,67,67,65,65"
67.mid,"65,65,65,65,64,67,67,69,64,65,62,60,60,65,65,65,64,67,69,69,69,67,67,65,65"
68.mid,"67,69,67,67"
69.mid,"67,72,72,74,72,74,72,74,72,72,71,67,69,67"
70.mid,"67,69,72,69,69,69,67,65"
71.mid,"62,62,62,60,65,67,65,69,69,65,69,72,69,67,69,65,67,69,71,69,67,69,69,65,65,67,69,67,65,67,65,64,62,64,65,65,60,60,62,65,65,65,69,67,67,69,65,64,65,62,60,62,65,64,62,62"
72.mid,"62,65,62,65,64,62,62,65"
73.mid,"60,60,62,62,62,62,62,62,65,65,64,64,62,62,64,60,62,65,62,65,67,69,65,64,62,62,62,60,65,67,69,67,65,65,67,65,65,64,62,62,65,62,60,65,67,65,67,69,69,67,65,67,69,67,67,65,67,65,62,62,67,67,67,69,67,65,67,65,65,65,67,65,65,64,65,67,65,65,64,62,60,62,65,64,62,62,69,69,69,67,67,65,67,69,67,65,62"
74.mid,"60,62,65,64,62,65,65,64,62,62,60"
75.mid,"62,64,65,62,60,62,64,64"
76.mid,"62,62,62,65,64,62,62,60"
77.mid,"62,65,62,65,64,62,62,65"
78.mid,"67,67,72,71,72,74,72,72,74,72,71,72,74,76,77,76,77,77,74,74,74,76,77,76,74,72,72,74,76,72,72,71,67,69,72,67,69,67,67,65,69,65,67,69,69,74,72,74,72,72,72,71,72,71,69,72,72,71,72,74,72,71,69,69,71,72,71,69,67,69,72,69,67,69,69,67,67,67,72,71,72,72,69,72,72,71,72,74,69,72,69,69,67,67,67,72,71,72,74,74,74,72,69,72,74,76,74,76,74,72,71,72,72,71,71,72,74,74,72,69,72,71,72,74,72,71,69,69,71,72,71,69,67,69,72,69,67,69,67,65,65,69,72,72,72,71,72,69,67,65,67,67,74,72,74,72,72,76,74,72,72,71,69,71,72,74,72,71,72,69,67,69,67"
